Path,Group,Total rate (Hz),,,QCDPt15to30,,,QCDPt30to50,,,QCDPt50to80,,,QCDPt80to120,,,QCDPt120to170,,,QCDPt170to300,,,QCDPt300to470,,,QCDPt470to600,,,QCDPt600to800,,,QCDPt800to1000,,,QCDPt1000to1400,,,QCDPt1400to1800,,,QCDPt1800,,,DYToEE,,,DYToMuMu,,,WToENu,,,WToMuNu,,,QCDEMPt30to80,,,QCDEMPt80to120,,,QCDMuPt30to50,,,QCDMuPt50to80,,,QCDMuPt80to120,,,,Total QCD rate (Hz),,,Total QCD 30to80,,,Total QCD 80to170,,,Total EW rate (Hz),,
HLT_Ele25WP60_SC4_Mass55_v2,E_GAMMA,13.26,±,2.89,2.79,±,2.79,1.37,±,0.56,0.81,±,0.16,0.25,±,0.06,0.11,±,0.04,0.09,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.76,±,0.02,0.00,±,0.00,1.38,±,0.06,0.00,±,0.00,4.58,±,0.44,1.00,±,0.12,0.03,±,0.02,0.03,±,0.02,0.07,±,0.04,,,,,,,,,,,,,
HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95_v1,noGoogleDoc,12.70,±,0.77,0.00,±,0.00,1.14,±,0.51,2.01,±,0.26,1.38,±,0.13,0.47,±,0.07,0.37,±,0.07,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.25,±,0.01,0.00,±,0.00,0.10,±,0.02,0.00,±,0.00,4.83,±,0.45,2.12,±,0.17,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,,,,,,,,,,,,,
HLT_Ele32_eta2p1_WPLoose_Gsf_CentralPFJet30_BTagCSV07_v1,Top,12.54,±,0.66,0.00,±,0.00,0.46,±,0.32,1.75,±,0.24,1.24,±,0.12,0.40,±,0.07,0.44,±,0.08,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.21,±,0.01,0.00,±,0.00,0.71,±,0.05,0.00,±,0.00,5.13,±,0.46,1.89,±,0.16,0.03,±,0.02,0.16,±,0.05,0.12,±,0.06,,,,,,,,,,,,,
HLT_DoubleJet90_Double30_TripleCSV0p5_v2,HIG,12.28,±,0.51,0.00,±,0.00,0.46,±,0.32,0.00,±,0.00,0.40,±,0.07,2.54,±,0.17,7.73,±,0.32,0.00,±,0.00,0.26,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.04,0.85,±,0.11,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,,,,,,,,,,,,,
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v2,"HIG,Top",12.23,±,0.61,0.00,±,0.00,0.23,±,0.23,0.47,±,0.13,0.15,±,0.04,0.31,±,0.06,0.21,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.00,0.00,±,0.00,0.07,±,0.01,0.14,±,0.03,4.79,±,0.45,0.86,±,0.11,1.50,±,0.14,2.33,±,0.18,1.15,±,0.17,,,,,,,,,,,,,
HLT_Mu16_TkMu0_dEta18_Onia_v2,BPH,11.86,±,0.44,0.00,±,0.00,0.00,±,0.00,0.03,±,0.03,0.00,±,0.00,0.60,±,0.08,0.33,±,0.07,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.55,±,0.15,0.27,±,0.06,4.91,±,0.26,3.86,±,0.23,1.27,±,0.18,,,,,,,,,,,,,
HLT_DoubleMu4_JpsiTrk_Displaced_v2,BPH,11.83,±,2.83,2.79,±,2.79,0.46,±,0.32,0.03,±,0.03,0.01,±,0.01,0.08,±,0.03,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.29,±,0.11,0.04,±,0.02,6.14,±,0.29,1.77,±,0.16,0.20,±,0.07,,,,,,,,,,,,,
HLT_Dimuon0_Phi_Barrel_v1,BPH,10.78,±,2.83,2.79,±,2.79,0.46,±,0.32,0.03,±,0.03,0.01,±,0.01,0.15,±,0.04,0.03,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.34,±,0.12,0.07,±,0.03,4.49,±,0.25,1.74,±,0.15,0.67,±,0.13,,,,,,,,,,,,,
HLT_Ele105_CaloIdVT_GsfTrkIdT_v2,EXO,10.69,±,0.44,0.00,±,0.00,0.23,±,0.23,0.13,±,0.07,0.86,±,0.10,2.36,±,0.17,3.73,±,0.22,0.00,±,0.00,0.03,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.06,±,0.01,0.00,±,0.00,0.21,±,0.02,0.00,±,0.00,0.04,±,0.04,3.01,±,0.21,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,,,,,,,,,,,,,
HLT_Mu27_TkMu8_v2,EXO,10.69,±,0.48,0.00,±,0.00,0.23,±,0.23,0.03,±,0.03,0.02,±,0.02,1.26,±,0.12,1.09,±,0.12,0.00,±,0.00,0.03,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.17,±,0.03,0.13,±,0.07,0.58,±,0.09,1.12,±,0.12,3.06,±,0.21,2.96,±,0.27,,,,,,,,,,,,,
